num_cookie_ids,num_local_storage_ids,num_session_ids,num_fingerprint_hashes,num_device_profile_hashes,num_canvas_hashes,num_webgl_hashes,num_ip_addresses,num_user_agents,ip_change_count,sessions_last_10_min,ips_last_30_min,pdf_attempts_last_10_min,blocked_attempts,repeated_blocked_attempts,time_to_first_generate_seconds,avg_time_between_generations,same_content_repeated_count,api_only_usage_pattern,page_views_before_generate,generate_clicks_before_success,has_vpn_ip,has_proxy_ip,has_datacenter_ip,has_tor_ip,risky_ip_score,webdriver_detected,plugins_count,headless_suspected,missing_browser_headers,cookie_missing_after_seen,same_fingerprint_multiple_cookies,accounts_same_device,accounts_same_ip,account_created_after_free_limit,identity_link_confidence_max,many_visitors_same_ip,cleared_cookie_same_fingerprint,same_ip_only,scenario_name,label,label_confidence,source
1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,152,538666,0,0,3,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,NORMAL_SLOW_USAGE,0,0.92,SYNTHETIC
1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,538,1500,0,0,4,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,NORMAL_SINGLE_PDF,0,0.92,SYNTHETIC
1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,635,3520,0,0,3,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,NORMAL_TWO_PDFS,0,0.92,SYNTHETIC
1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,360,3460,0,0,1,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,NORMAL_TWO_PDFS,0,0.92,SYNTHETIC
1,1,2,1,1,1,1,1,1,0,1,0,0,0,0,691,3279,0,0,1,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,NORMAL_USER_MULTIPLE_SESSIONS,0,0.55,SYNTHETIC
5,5,1,1,1,1,1,1,1,0,0,0,0,0,0,93,1763,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,70,0,0,0,COOKIE_AND_LOCAL_STORAGE_RESET_BUT_SAME_DEVICE_PROFILE,1,0.92,SYNTHETIC
1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,896,2952,0,0,3,1,0,0,0,1,98,0,3,0,0,0,0,0,0,0,0,0,0,0,TOR_USAGE,1,0.92,SYNTHETIC
1,1,1,1,1,1,1,6,1,0,0,8,0,0,0,561,2087,0,0,3,2,1,0,0,0,69,0,6,0,0,0,0,0,0,0,0,0,0,0,VPN_IP_SWITCHING,1,0.92,SYNTHETIC
1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,174,2825,0,0,1,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,3,0,0,NORMAL_SHARED_IP_DIFFERENT_DEVICE,0,0.92,SYNTHETIC
1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,885,338542,0,0,3,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,NORMAL_SLOW_USAGE,0,0.92,SYNTHETIC
1,1,1,1,1,1,1,10,1,0,0,6,0,0,0,650,1372,0,0,2,1,1,0,0,0,71,0,3,0,0,0,0,0,0,0,0,0,0,0,VPN_IP_SWITCHING,1,0.92,SYNTHETIC
1,1,4,1,1,1,1,1,1,0,1,0,0,0,0,760,2932,0,0,4,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,NORMAL_USER_MULTIPLE_SESSIONS,1,0.55,SYNTHETIC
